packed,counter,value,time_of_day
399603797343232,1,68.76,11:08:43.392
1201164953861325,4,43.81,11:08:43.597
1433488324836661,5,15.2,11:08:43.701
1762156402195770,6,42.67,11:08:43.706
2001008123460927,7,17.86,11:08:43.711
2340963374873924,8,51.9,11:08:43.716
2607732383563081,9,43.34,11:08:43.721
2909496785780046,10,55.15,11:08:43.726
3210110136761683,11,66.29,11:08:43.731
3409070201781592,12,18.26,11:08:43.736
3810512205004125,13,88.09,11:08:43.741
3996432749313378,14,32.47,11:08:43.746
4344222021074279,15,71.07,11:08:43.751
4549160680570220,16,26.52,11:08:43.756
4852746148920689,17,39.39,11:08:43.761
5069453018807670,18,1.69,11:08:43.766
5495204536925563,19,85.67,11:08:43.771
5787227953315200,20,91.81,11:08:43.776
6035975279230341,21,72.76,11:08:43.781
6294515130580362,22,59.41,11:08:43.786
6587466259905935,23,66.09,11:08:43.791
6820751703555476,24,38.04,11:08:43.796
7204257923349913,25,97.43,11:08:43.801
7385093226380702,26,38.85,11:08:43.806
7680655695822243,27,47.05,11:08:43.811
7912257512291752,28,18.02,11:08:43.816
8198508492635565,29,20.8,11:08:43.821
8540456608873906,30,56.0,11:08:43.826
8858627786161591,31,77.36,11:08:43.831
9101310618254780,32,54.78,11:08:43.836
9382630976142785,33,54.69,11:08:43.841
9587191678516678,34,9.92,11:08:43.846
10002515016039883,35,87.83,11:08:43.851
10249595894644176,36,67.81,11:08:43.856
10451510897163733,37,21.5,11:08:43.861
10772104436006362,38,44.27,11:08:43.866
11128243124190687,39,87.73,11:08:43.871
11327357808033252,40,39.79,11:08:43.876
11637935483141609,41,56.73,11:08:43.881
11885531757821422,42,37.01,11:08:43.886
12234626699640307,43,76.37,11:08:43.891
12392733035740664,44,4.56,11:08:43.896
12701747342753277,45,20.59,11:08:43.901
13084446108696066,46,79.51,11:08:43.906
13353207982210567,47,72.11,11:08:43.911
13558352800136716,48,27.68,11:08:43.916
13875647804096017,49,48.53,11:08:43.921
14137503370198550,50,37.11,11:08:43.926
14366339227729435,51,6.47,11:08:43.931
14788139375935008,52,88.15,11:08:43.936
15029533717839397,53,64.82,11:08:43.941
15316265734520362,54,67.88,11:08:43.946
15547317795175983,55,38.53,11:08:43.951
15933847671946804,56,99.68,11:08:43.956
16077265219894841,57,19.32,11:08:43.961
16490973649714750,58,96.29,11:08:43.966
16728262002884163,59,70.57,11:08:43.971
16913100215434824,60,14.32,11:08:43.976
17214280502099533,61,25.79,11:08:43.981
17565368308743762,62,66.31,11:08:43.986
17763916056903255,63,18.04,11:08:43.991
18141134444576348,64,73.77,11:08:43.996
18328395018681953,65,18.93,11:08:44.001
18680290279177830,66,59.92,11:08:44.006
18915139090923115,67,32.78,11:08:44.011
19312045608681072,68,99.97,11:08:44.016
19567699242008181,69,84.94,11:08:44.021
19733330360811130,70,17.51,11:08:44.026
20106786357132927,71,71.05,11:08:44.031
20408482039873156,72,82.82,11:08:44.036
20645529874873993,73,56.96,11:08:44.041
20913827891920526,74,49.29,11:08:44.046
21199683735273107,75,51.84,11:08:44.051
21485934715616920,76,54.62,11:08:44.056
21718893741751965,77,26.38,11:08:44.061
22002670820933282,78,27.72,11:08:44.066
22280950341975719,79,25.86,11:08:44.071
22617108842299052,80,57.69,11:08:44.076
22946567193640625,81,85.62,11:08:44.081
23098162359320246,82,10.02,11:08:44.086
23520993299676859,83,92.3,11:08:44.091
23815593696444096,84,99.94,11:08:44.096
23998834181160645,85,42.76,11:08:44.101
24280188898787018,86,42.69,11:08:44.106
24580664810815183,87,53.75,11:08:44.111
24831851678154452,88,36.12,11:08:44.116
25147170997157593,89,55.82,11:08:44.121
25464122403733214,90,76.47,11:08:44.126
25693164419694307,91,45.95,11:08:44.131
26046004572995304,92,87.49,11:08:44.136
26190882409823981,93,7.98,11:08:44.141
26627543144873714,94,98.31,11:08:44.146
26788604418473719,95,28.22,11:08:44.151
27136737287618300,96,67.02,11:08:44.156
27435649831550721,97,77.17,11:08:44.161
27732088474320646,98,85.88,11:08:44.166
27952214138175243,99,50.17,11:08:44.171
28180500239892240,100,19.21,11:08:44.176
28600015465496341,101,99.56,11:08:44.181
28774081900068634,102,37.04,11:08:44.186
29133433223790367,103,82.37,11:08:44.191
29362251901452068,104,51.72,11:08:44.196
29717754934476585,105,94.81,11:08:44.201
29935458236776238,106,57.69,11:08:44.206
30135225755647795,107,10.13,11:08:44.211
30422078031413048,108,13.26,11:08:44.216
30692695330799421,109,6.94,11:08:44.221
31058093968473922,110,55.79,11:08:44.226
31408683558911815,111,96.02,11:08:44.231
31599088049078092,112,43.01,11:08:44.236
31895097195118417,113,51.47,11:08:44.241
32112869216894806,114,14.39,11:08:44.246
32540029484285787,115,99.19,11:08:44.251
32680938771332960,116,17.37,11:08:44.256
33074271876300645,117,82.48,11:08:44.261
33236243682967402,118,12.92,11:08:44.266
33595165509959535,119,58.0,11:08:44.271
33849753991397236,120,42.35,11:08:44.276
34194622685396857,121,79.25,11:08:44.281
34429127899758462,122,51.91,11:08:44.286
34731802835042179,123,64.25,11:08:44.291
34951052325568392,124,28.03,11:08:44.296
35190728680554381,125,3.7,11:08:44.301
35475141414895506,126,5.41,11:08:44.306
35767508428668823,127,11.75,11:08:44.311
36053020674637724,128,14.1,11:08:44.316
36353943263264673,129,25.42,11:08:44.321
36680257698545574,130,51.52,11:08:44.326
36943762532089771,131,41.06,11:08:44.331
37213795715923888,132,34.4,11:08:44.336
37550452432453557,133,66.52,11:08:44.341
37864878398259130,134,85.7,11:08:44.346
38133554372427711,135,78.25,11:08:44.351
38440438375661508,136,93.04,11:08:44.356
38637852252454857,137,44.11,11:08:44.361
38873096201191374,138,17.2,11:08:44.366
39127289545637843,139,1.32,11:08:44.371
39504971789778904,140,57.32,11:08:44.376
39789934279933917,141,59.35,11:08:44.381
40122107050606562,142,88.86,11:08:44.386
40292531352911847,143,24.22,11:08:44.391
40574951222427628,144,24.77,11:08:44.396
40872334758002673,145,34.03,11:08:44.401
41106307396419574,146,6.38,11:08:44.406
41468149801172987,147,53.16,11:08:44.411
41787815627079680,148,75.39,11:08:44.416
