roll=-3.31 pitch=0.96 yaw=0
roll=-6.55 pitch=1.91 yaw=0
roll=-9.73 pitch=2.83 yaw=0
roll=-12.85 pitch=3.73 yaw=0
roll=-15.9 pitch=4.62 yaw=0
roll=-18.89 pitch=5.48 yaw=0
roll=-21.83 pitch=6.33 yaw=0
roll=-24.7 pitch=7.16 yaw=0
roll=-27.52 pitch=7.97 yaw=0
roll=-30.28 pitch=8.76 yaw=0
roll=-32.99 pitch=9.55 yaw=0
roll=-35.64 pitch=10.31 yaw=0
roll=-38.24 pitch=11.06 yaw=0
roll=-40.78 pitch=11.8 yaw=0
roll=-43.28 pitch=12.52 yaw=0
roll=-45.72 pitch=13.22 yaw=0
roll=-48.12 pitch=13.91 yaw=0
roll=-50.46 pitch=14.59 yaw=0
roll=-52.76 pitch=15.26 yaw=0
roll=-55.01 pitch=15.91 yaw=0
roll=-57.21 pitch=16.55 yaw=0.01
roll=-59.37 pitch=17.17 yaw=0
roll=-61.49 pitch=17.78 yaw=0
roll=-63.57 pitch=18.38 yaw=0.01
roll=-65.61 pitch=18.97 yaw=0
roll=-67.6 pitch=19.55 yaw=0
roll=-69.56 pitch=20.11 yaw=0
roll=-71.48 pitch=20.66 yaw=0.01
roll=-73.36 pitch=21.21 yaw=0
roll=-75.2 pitch=21.74 yaw=0
roll=-77.01 pitch=22.26 yaw=0.01
roll=-165.5 pitch=47.77 yaw=1.95
roll=-165.49 pitch=47.77 yaw=1.96
roll=-165.49 pitch=47.78 yaw=1.95
roll=-165.49 pitch=47.78 yaw=1.95
roll=-165.48 pitch=47.79 yaw=1.96
roll=-165.48 pitch=47.79 yaw=1.96
roll=-165.48 pitch=47.79 yaw=1.95
roll=-165.47 pitch=47.79 yaw=1.95
roll=-165.47 pitch=47.8 yaw=1.96
roll=-165.48 pitch=47.8 yaw=1.96
roll=-165.48 pitch=47.8 yaw=1.95
roll=-165.48 pitch=47.8 yaw=1.96
roll=-165.49 pitch=47.8 yaw=1.96
roll=-165.49 pitch=47.8 yaw=1.95
roll=-165.49 pitch=47.8 yaw=1.96
roll=-165.49 pitch=47.8 yaw=1.96
roll=-165.49 pitch=47.8 yaw=1.96
roll=-165.49 pitch=47.8 yaw=1.95
roll=-165.49 pitch=47.79 yaw=1.96
roll=-165.5 pitch=47.79 yaw=1.96
roll=-165.5 pitch=47.79 yaw=1.95
roll=-165.5 pitch=47.79 yaw=1.96
roll=-165.5 pitch=47.79 yaw=1.96
roll=-165.5 pitch=47.79 yaw=1.96
roll=-165.5 pitch=47.79 yaw=1.96
roll=-165.5 pitch=47.79 yaw=1.96
roll=-165.51 pitch=47.78 yaw=1.96
roll=-165.5 pitch=47.79 yaw=1.96
roll=-165.5 pitch=47.78 yaw=1.96
roll=-165.5 pitch=47.78 yaw=1.97
roll=-165.5 pitch=47.78 yaw=1.96
roll=-165.5 pitch=47.78 yaw=1.96
roll=-165.5 pitch=47.78 yaw=1.97
roll=-165.5 pitch=47.78 yaw=1.96
roll=-165.49 pitch=47.78 yaw=1.96
roll=-165.49 pitch=47.78 yaw=1.96
roll=-165.49 pitch=47.78 yaw=1.97
roll=-165.49 pitch=47.78 yaw=1.96
roll=-165.49 pitch=47.77 yaw=1.96
roll=-165.49 pitch=47.77 yaw=1.97
roll=-165.49 pitch=47.77 yaw=1.96
roll=-165.49 pitch=47.77 yaw=1.96
roll=-165.49 pitch=47.77 yaw=1.97
roll=-165.49 pitch=47.77 yaw=1.97
